text,label,prob
Menggelabah masing-masing nak beraya kan. Lepastu heboh kerajaan gagal. Idiot,Negative,0.999370813369751
"Bendera putih tu bukannya nak harap bantuan kerajaan pon pada asalnya, hanya untuk rakyat jaga sesama rakyat. Ahli https://t.co/P8lqGaRpMj",Negative,0.9994317293167114
Nape nak kena tampal gambar Dia pulak...Guna duit sendiri ke atau Guna duit kerajaan ...,Negative,0.9994584918022156
Sudah sudah la kak mas woi. Kamu tahu tak semua ahli umno bahagian kuale tak sokong kamu masa pru14. Kami bukan banggang mcm kamu. https://t.co/uTrGsm62gh,Negative,0.9993581175804138
"Kerajaan kita bukan serba boleh, tapi serba bodoh bahalol.",Negative,0.9994504451751709
"@magmalaya Maybe azmin rase selangor n kl dh keluar malaysia.kalo gini,do we get all those ahli politik..tak kan..",Negative,0.9994401931762695
Penat lah tengok rakyat malaysia yg toxic nih. Aku nih takdelah sokong kerajaan pun ade je tak suke tapi takde lah https://t.co/PjjRFiF34b,Negative,0.9993119835853577
Bodoh dgn kerajaan asyik sambung pkp pkp jelah sampai kiamat mental gak camni,Negative,0.9994801878929138
Dah mula dah... Masuk keluar mahkamah bgi ahli2 politik yg tak sebulu dgn kerajaan... tu biasa... cuba tnya DSAi...,Negative,0.9993252754211426
"Dua Hari Nyaris Hatrick, Murai Batu Ceriwis Siap Meraikan Even Bekasi Bersatu! https://t.co/2jFS9Myheg",Positive,0.9996057748794556
Selangor mantap! Petisyen bawa Selangor keluar dari Malaysia kerajaan muhyidin bebal next pls,Negative,0.9994420409202576
Masing-masung berebut nak jadi kerajaan. Sial,Negative,0.9993417263031006
"@MasidiM Moga kerajaan sabah, tidak ikut pkp macam kerajaan pusat. Makin lama pkp, makin ramai hilang pekerjaan. Ti https://t.co/nSIABkkEDS",Negative,0.9994041919708252
@afqrsly Kau search pkpd. Katanya satu selangor hahaha kiwak kerajaan babi,Negative,0.9995056986808777
@pussycat____ @MacthDeath @HangBuah3 @izhar1902 @AjaxbroBro @amran1817 @piesmile2007 @NikYahya2 @_royalfinest @kontarOP @MatthewShanmu10 @Bossbm17 @UzairAl22688085 @MrAntiFitnah @M_uhauha_no @1rmf5 @iamjefrizain @Shawn35154099 @TeohPaikLeong @Lugzan11 @DmitriAlexande1 @PudinDon @BujalismReality @BadBoy2662 @evildimsum @khaipek @razmanrahim @MatthewShanmug9 @terrencedass @sirsazly @af_f4hmi @Bro2Face @mahazalimreturn @MatthewShanmug8 @GlobalKid6 @61_garuda @RameshRaoAKS @wallaun_cyber @KochenkoSlovak @Danialskops @epieys @azrulzaidi6 @rsharimah @Badacs1 @blackmerz101 @dapmalaysia @NajibRazak @MuhyiddinYassin @RajaPetra @pussycat Selangor dibawah pemerintahan PH. Kes Covid-19 paling bnyk adalah negeri itu. Siapa Pengerusi Taskforce Covid-19 depa? Bekas Menteri kesihatan PH. Nmpk sgt org2 PH &amp; PN tak reti bt kerja!!,Negative,0.9994772672653198
Rakyat yang kena bayar hihi memang zaman ni lagi elok dark kerajaan lepas lepas,Negative,0.9993786811828613
"Macamana kes covid-19 nak turun kalau majlis tempatan, kerajaan negeri dan ahli parlimen PH tidak mahu berkerjasama https://t.co/FcKv7hwKUa",Negative,0.9993786811828613
butoh pak hang mmg kerajaan tak competent kepala otak ko cemburu. Bodoh takde akal otak dekat lutut,Negative,0.9992780685424805
"Aslmualaikum, tolong rt untuk rezeki saya supaya dapat clearkan stok? Stok yang ada : 3 cadbury 3 kitkat 4 milo https://t.co/bn6d6HxE00",Neutral,0.9994149208068848
"@jim_ha_kho @AmirudinShari @apanakdikato Haha tulah. Balik2 salah federal. Bukan nak backup federal, tpi kerajaan n https://t.co/IFkIZw6mWM",Negative,0.9994193315505981
"sembako di pasar tradisional tidak di kenakan ppn, tenang aja Bersatu Lawan Covid19 https://t.co/4G3FLxafzP",Negative,0.9798189997673035
"Sakit hati baca politik hari ni, cuba tenangkan fikiran tengok Youth Over Flower. Lagi sakit hati. Aku nak pergi Iceland!!!!",Negative,0.9994785189628601
"Mereka yang ""selalu"" memprovokasi masyarakat untuk melawan pemerintah itu lebih membutuhkan batu nisan kalian, bukan hidup kalian. . Karena mereka mempunyai kepentingan politik untuk menjatuhkan pemerintahan Jokowi melalui pandemi Covid-19 ini agar tidak cepat selesai. https://t.co/x2BW8JOBja",Negative,0.9995489120483398
Orang lain pun takdelah nak back up sangat si Ronnue Liu ni. Orang-orang DAP pun ramai yang tak back up. Tapi over lah kau mat sampai nak samakan DAP dengan Israel. Haus isu perkauman ke bang?,Negative,0.9993282556533813
